id,autor,nacionalidad,epoca,tipo_autor,sentimiento,emocion_tag,frase_motivacional,cancion_recomendada,artista_cancion,genero_musical,año_cancion,por_que_combina
1,Pablo Neruda,Chile,Siglo XX,Poeta,Amor romántico,amor,El amor es tan corto y el olvido tan largo — pero cada amor vivido te enseña quién eres.,La vie en rose,Édith Piaf,Jazz / Chanson,1947,Ambas celebran el amor profundo con melancolía y belleza al mismo tiempo.
2,Rumi,Persia,Siglo XIII,Poeta místico,Búsqueda interior,espiritualidad,Lo que buscas también te busca a ti. No pares.,Breathe (2 AM),Anna Nalick,Indie pop,2005,La letra invita a soltar el control y confiar en el proceso — igual que Rumi.
3,Maya Angelou,Estados Unidos,Siglo XX,Poeta / Escritora,Empoderamiento,fuerza,"Todavía me levanto. Sin importar lo que pase, sigues en pie.",Rise Up,Andra Day,Soul / R&B,2015,Un himno de resiliencia que conecta directo con el espíritu de Angelou.
4,Octavio Paz,México,Siglo XX,Poeta,Soledad reflexiva,introspección,La soledad es el hecho más profundo de la condición humana. Conócela y encontrarás tu centro.,The Sound of Silence,Simon & Garfunkel,Folk rock,1964,Ambas encuentran profundidad y significado dentro del silencio y la soledad.
5,Warsan Shire,Somalia / Reino Unido,Siglo XXI,Poeta contemporánea,Duelo y sanación,tristeza,No puedes hacer que la gente te ame como tú mereces. Pero sí puedes elegir sanar.,All I Want,Kodaline,Indie folk,2013,Canción sobre pérdida y anhelo que acompaña la tristeza sin apurarla.
6,Walt Whitman,Estados Unidos,Siglo XIX,Poeta,Alegría de vivir,euforia,Celebra cada instante. Eres un milagro continuo sobre la Tierra.,Here Comes the Sun,The Beatles,Rock / Pop,1969,Una explosión de optimismo y renovación — perfecta para celebrar estar vivo.
7,Alfonsina Storni,Argentina,Siglo XX,Poeta,Nostalgia,nostalgia,Lo pasado no regresa — pero te formó. Llévalo contigo como fuerza.,The Night We Met,Lord Huron,Indie folk,2015,Una canción que abraza la nostalgia sin quedarse atrapada en ella.
8,Khalil Gibran,Líbano,Siglo XX,Poeta / Filósofo,Amor propio,amor propio,Para amar al otro primero debes aprender a estar en paz contigo mismo.,favorite crime,Olivia Rodrigo,Pop / Indie,2021,Habla de elegirse a uno mismo después de un amor difícil.
9,Emily Dickinson,Estados Unidos,Siglo XIX,Poeta,Esperanza,esperanza,La esperanza es esa cosa con plumas que se posa en el alma y nunca para de cantar.,A Sky Full of Stars,Coldplay,Alternative rock,2014,Una canción luminosa que transmite exactamente esa sensación de luz interior constante.
10,Federico García Lorca,España,Siglo XX,Poeta / Dramaturgo,Pasión intensa,pasión,El amor no pide permiso. Te inunda cuando menos lo esperas. Déjate.,Unchained Melody,The Righteous Brothers,Soul / Pop,1965,Amor desbordado y poderoso — la misma energía intensa que Lorca pone en su obra.
